ID,Illustration,Scenario (EN),Scenario (NL),Harassment type (EN),Harassment type (NL),Harassment Subtype (EN),Harassment Subtype (NL),Correct Swipe,Explanation (EN),Explanation (NL),Intervention tip (EN),Intervention tip (NL),5D type
1,scenerio_1.svg,"A friend reads sexually suggestive private messages from his partner, 'just as a joke'","Een vriend leest sexueel getinte privé-berichten voor van zijn partner, 'gewoon als grapje'",Sexual Harassment,Seksuele intimidatie,Sexual boundary violation,Schending van seksuele grenzen,left,"Sharing sexual messages without consent is a serious violation of privacy and trust. It can be humiliating and harmful for your partner, and uncomfortable or transgressive for those who have to see or hear it without permission.",Het delen van seksuele berichten zonder toestemming is een ernstige schending van privacy en vertrouwen. Het kan vernederend en schadelijk zijn voor de partner én ongemakkelijk of grensoverschrijdend voor de mensen die het ongevraagd moeten zien of horen.,Say that you don't think this behavior is okay and ask if the person has permission from their partner to share this.,Zeg dat je dit gedrag niet oké vindt en vraag of diegene toestemming heeft van diens partner om dit te delen,Direct
2,scenerio_2.svg,"In the locker room someone says, “Don’t be so gay,” to a teammate.","In de kleedkamer zegt iemand: “Doe niet zo gay,” tegen een teamgenoot.",Discrimination,Discriminatie,Homophobia,Homofobie,left,Such comments can create an unsafe environment for LGBTQ+ people.,Dergelijke opmerkingen kunnen een onveilig klimaat creëren voor LGBTQ+ personen.,Talk to the person who made the comment later and explain why it might be hurtful.,Praat later met de persoon die de opmerking maakte en leg uit waarom dit kwetsend kan zijn. ,Delay
3,scenerio_3.svg,"On the street, someone repeatedly makes sexual comments to a girl who is clearly trying to run away.",Op straat maakt iemand herhaaldelijk seksuele opmerkingen naar een meisje dat duidelijk probeert weg te lopen.,Sexual Harassment,Seksuele intimidatie,Street harrassment,Straatintimidatie,left,Persistent sexual comments can feel threatening and make someone feel unsafe in public spaces.,Aanhoudende seksuele opmerkingen kunnen bedreigend aanvoelen en iemand het gevoel geven niet veilig te zijn in de openbare ruimte.,"Only film or record the situation if it is safe, and then ask the girl whether she wants to use or delete the footage","Film of noteer de situatie alleen als het veilig is, en vraag daarna aan het meisje of zij het beeldmateriaal wil gebruiken of verwijderen",Document
4,scenerio_4.svg,Someone mockingly imitates the way a classmate with a speech impairment speaks,Iemand imiteert spottend de manier waarop een klasgenoot met een spraakbeperking praat,Bullying,Pesten,Ablism,Discriminatie van mensen met een beperking,left,Mocking disability can be deeply hurtful and increase others’ feelings of inacceptance.,Het bespotten van een beperking kan diep kwetsend zijn en bij anderen het gevoel versterken dat ze niet geaccepteerd worden.,Involve a teacher or group leader in the situation so they can help stop the behavior.,"Betrek een docent of groepsleider bij de situatie, zodat zij kunnen helpen het gedrag te stoppen.",Delegate
5,scenerio_5.svg,Someone says to an international student: 'You speak really good Dutch for someone from there.',Iemand zegt tegen een internationale student: 'Je spreekt echt goed Nederlands voor iemand van daar.',Discrimination,Discriminatie,Microagression,Microagressie,down,"While it may be meant as a compliment, the comment emphasizes someone's ""otherness"" and can reinforce exclusion","Hoewel het misschien als een compliment wordt bedoeld, benadrukt de opmerking iemands ‘anders-zijn’ en kan het uitsluiting versterken","Say that it might be meant as a compliment, but it could also come across as a strange label","Zeg dat het misschien als compliment bedoeld is, maar dat het ook als vreemd labelend kan overkomen",Direct
6,scenerio_6.svg,"At a party, someone says to a girl, ""You look really hot in that dress,"" as he looks her up and down.","Op een feestje zegt iemand tegen een meisje: 'Jij ziet er echt lekker uit in dat jurkje', terwijl hij haar van top tot teen bekijkt.",Sexual Harassment,Seksuele intimidatie,Objectivication ,Objectivisering,left,The comment sexualizes her without invitation and may make her feel uncomfortable or unsafe in a social setting.,De opmerking seksualiseert haar zonder uitnodiging en kan haar ongemakkelijk of onveilig laten voelen in een sociale setting.,Interrupt the moment by asking if she wants to get a drink with you so she can get away from the situation.,"Onderbreek het moment door te vragen of ze samen een drankje wil halen, zodat zij weg kan uit de situatie.",Distract
7,scenerio_7.svg,Two people on bicycles follow someone for a few minutes and joke around.,Twee mensen op de fiets volgen iemand een paar minuten en maken grapjes.,Bullying,Pesten,Street harrassment,Straatintimidatie,left,Following someone around can give that person an unsafe feeling ,Iemand volgen kan een gevoel van onveiligheid opwekken bij de persoon,"Interrupt the situation by asking the way, or greeting the person like you know them","Onderbreek de situatie door de weg te vragen, of door de persoon te begroeten alsof je diegene kent",Distract
8,scenerio_8.svg,A teacher jokes that “students these days are easily offended.”,Een docent maakt een grap dat studenten “tegenwoordig wel erg snel gekwetst zijn”,Verbal behavior,Verbaal gedrag,Dismissive remark,Bagatelliserende opmerking,down,The comment may be meant as humor but can dismiss people’s experiences.,"De opmerking kan bedoeld zijn als humor, maar kan ook zorgen of ervaringen van studenten bagatelliseren.",Discuss it later with a counselor or another teacher.,Bespreek het later met een studiebegeleider of andere docent.,Delegate
9,scenerio_9.svg,"In a group chat, someone shares a screenshot of a private conversation to ask for advice.",In een groepschat deelt iemand een screenshot van een privégesprek om advies te vragen.,Online Behavior,Online gedrag,Sharing private communication,Privé communicatie delen,down,It may be meant to seek advice but can violate the other person’s privacy.,"Het kan bedoeld zijn om hulp te vragen, maar kan ook de privacy van de andere persoon schenden.",Save a screenshot and check with the person involved whether they want it removed.,Maak eventueel een screenshot en bespreek later met de betrokken persoon of zij willen dat het wordt verwijderd.,Document
10,scenerio_10.svg,"During a conversation, someone says, “That’s such a typical woman thing.”",Tijdens een gesprek zegt iemand: “Dat is wel typisch iets voor vrouwen.”,Discrimination,Discriminatie,Sexism,Sexisme,down,It may be intended as a joke but reinforces gender stereotypes.,"Het kan als grap bedoeld zijn, maar versterkt genderstereotypen.",It may be intended as a joke but reinforces gender stereotypes.,Zeg dat zulke opmerkingen gebaseerd zijn op stereotypes.,Direct
